Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
2.0 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.145461859814037,2.84362776260806,5.59676130826664,3754.7734375,8.1407143805,242681,724132,276424,1000,4.10434520913831E-06,3.22431847547356E-06,6.64991707331506E-07,5.30853613208454E-07,7.43100503319178E-08,0.000176034875617243,9.59879074489641E-06, N/A , N/A
2.0 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.137718895231004,2.69226087453614,5.51446015353001,3786.3984375,9.99396770506667,290706,866855,332789,1000,6.54021543935223E-06,5.13618232687056E-06,6.91453619746919E-07,8.61716708219167E-07,1.22766023250204E-07,0.000319959943559351,1.89252416270864E-05, N/A , N/A
2.0 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.149081937671984,2.91439651197522,5.51222348149343,3859.5546875,11.91911099125,350197,1043643,402028,1000,3.85005351479678E-05,3.02169514614447E-05,1.07466451321298E-06,3.54186644975386E-06,5.20878473464832E-07,0.00264901404488343,0.000135916579332091, N/A , N/A
2.0 m, 1.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.148049357916644,2.89421065388743,5.50544790214003,3954.24609375,13.9975664238834,422337,1258013,484918,1000,1.25962457240017E-06,1.0002504088566E-06,5.82381936202223E-07,4.36273974089816E-07,4.49838333801337E-08,0.000146819519675683,5.25849768788882E-06, N/A , N/A
2.0 m, 1.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.15146621270619,2.96100660406142,5.46738397970771,3993.72265625,16.5967171617166,506564,1508262,581189,1000,1.53232178039526E-06,1.21145658040763E-06,4.52556020841443E-07,3.69189646697904E-07,3.61947275662669E-08,0.000160026079804787,7.30371958705523E-06, N/A , N/A
2.5 m, 1.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.142495269059328,2.78563400506109,5.2866600417388,3755.22265625,8.24102820453333,252554,753472,288493,1000,1.64691022448634E-06,1.30324482278965E-06,1.6090750448288E-07,2.22022619369499E-07,2.86376786459418E-08,6.09313215337652E-05,3.24596623244793E-06, N/A , N/A
2.5 m, 1.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.135636764853687,2.65155739560444,5.24444162150677,3776.1875,10.0793081667667,310491,925424,356095,1000,1.33706292439298E-06,1.06295222193875E-06,1.47239105152341E-07,1.96347943845784E-07,3.07721487112287E-08,8.41643310411587E-05,3.80221243217772E-06, N/A , N/A
2.5 m, 1.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.137708754914656,2.69206264191952,5.0955231853147,3888.671875,12.5873444347,381631,1136910,438138,1000,4.61311010098701E-06,3.62450784622005E-06,3.20503241430171E-07,6.90669455229743E-07,7.33641904157105E-08,0.000421527330825683,1.50569627254882E-05, N/A , N/A
2.5 m, 1.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.125638358190028,2.45609896542228,5.20513918787983,3971.6328125,15.7810840454834,468586,1395250,537121,1000,3.12820660181062E-05,2.45516255583711E-05,1.34026315454312E-06,3.79263999442652E-06,4.00248063349085E-07,0.00308432838242368,0.000130342447421402, N/A , N/A
2.5 m, 1.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.130673114798419,2.55452321001739,5.26100669869415,4096.0234375,19.0388484612166,567546,1690300,650058,1000,3.85435306587073E-06,3.03037952356914E-06,5.74377052109739E-08,5.35027504555112E-07,5.4202619641584E-08,0.0003577841302883,1.75543701438475E-05, N/A , N/A
3.0 m, 2.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.140640964730635,2.74938428794529,5.38542505102553,3757.5234375,8.34831195801667,262234,782116,300277,1000,1.19323230974328E-06,9.56651357505206E-07,2.85335304320671E-07,3.57516653083294E-07,8.58002663852449E-08,3.01944303784281E-05,3.65168865812404E-06, N/A , N/A
3.0 m, 2.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136040983411618,2.65945944714539,5.13474316196059,3841.46484375,11.1735922044667,331315,987082,380137,1000,1.84347492385566E-06,1.45732933876193E-06,2.09036895236246E-07,2.55529372892905E-07,3.24464029664978E-08,0.000105748783719971,6.30575422133185E-06, N/A , N/A
3.0 m, 2.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.127307938484033,2.48873752017477,5.10048450774264,3901.23046875,13.7758466338,413950,1233017,475341,1000,5.66502172555877E-06,4.44951681218382E-06,3.36551075024259E-07,6.11747085393283E-07,7.96932849418556E-08,0.000490136557377505,1.89926980429416E-05, N/A , N/A
3.0 m, 2.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.143135423338658,2.798148354069,5.12020458379705,4031.02734375,16.8223814555834,516049,1536854,591340,1000,9.35052166277477E-07,7.55009632352656E-07,3.15080659245879E-07,9.6689728119168E-08,1.52422259970094E-08,0.000101096906403092,3.03237005515562E-06, N/A , N/A
3.0 m, 2.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.138066783414905,2.69906172597094,5.15392442131797,4205.44921875,21.2502950698834,631578,1880834,721915,1000,1.07044178568013E-06,8.60164180282053E-07,1.76242357501437E-07,1.59672615029958E-07,1.84466069559186E-08,0.000117593300340394,4.22192115481251E-06, N/A , N/A
3.5 m, 2.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.141840576852058,2.772835454713,5.32339388212649,3797.28125,8.79584917088332,272163,811160,311954,1000,5.7337221569481E-07,5.07354582341816E-07,7.81785703193253E-08,2.53493950015405E-08,1.03647605751188E-08,1.30694686083567E-05,8.23799584152193E-07, N/A , N/A
3.5 m, 2.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.138233182683193,2.70231465824876,5.1205495270235,3865.4140625,11.19160422095,350384,1043483,402370,1000,2.24504864106598E-06,1.77514281696486E-06,6.29751859213465E-07,5.58932487971185E-07,1.18616913844243E-07,0.00014499522837706,8.03971651706831E-06, N/A , N/A
3.5 m, 2.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.14140186606497,2.76425911603898,5.02607526398915,3923.69140625,14.5166849890333,447056,1331060,512701,1000,5.32240372636519E-06,4.18242537799489E-06,5.91590869108456E-07,5.88365080045621E-07,9.45596115340874E-08,0.000596675335748147,1.83982584754337E-05, N/A , N/A
