Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 30.0 mm, 20.0 mm, 0.2894781427024707, 0.364625229073193, 16.31597441382581, 20.551520237948573, 9764.8828125, 54.14487094641655, 1.7927833333333334, 3825268, 11408909, 4065179, 1000, 5.760551713211038E-5, 9.904473290958065E-6, 2.3293723058899764E-5, 1.8740304369112755E-5, 0.005474674190638595, 7.938662645495818E-4, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 35.0 mm, 20.0 mm, 0.2923175291843874, 0.3760993267599848, 16.476011910119723, 21.198239477376095, 9808.1484375, 39.711997873183314, 1.4124833333333333, 2876763, 8574642, 3053712, 1000, 4.102177305656052E-5, 3.1364636339918282E-6, 1.8658395084376395E-5, 9.537670766897655E-6, 8.323492140532448E-4, 3.045799499530709E-4, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 40.0 mm, 20.0 mm, 0.28988759754212384, 0.36850567654521427, 16.339052683656583, 20.770235478680128, 9741.79296875, 30.090017224183327, 1.2518833333333332, 2210243, 6584925, 2348573, 1000, 1.0038615544464839E-4, 4.7440206752901935E-5, 8.255786929473407E-5, 9.500607224019904E-5, 0.0017523368110269602, 4.3513861964928084E-4, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 45.0 mm, 20.0 mm, 0.29726665457639745, 0.3759786640342318, 16.754961479551802, 21.191438515038463, 9741.79296875, 22.863640527733327, 1.10645, 1711068, 5098601, 1826093, 1000, 0.0016238241759532635, 6.572678660336307E-4, 0.0014344306604179324, 0.001468521024380257, 0.014686514139358467, 0.006715342016003436, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 50.0 mm, 20.0 mm, 0.29694530178010875, 0.3472686866972489, 16.736848941060607, 19.57324637355719, 9676.41015625, 23.500675337400033, 1.0695166666666667, 1749103, 5214450, 1860120, 1000, 0.0015486233599036477, 3.710513406731412E-4, 8.760082997426985E-4, 9.502363501723647E-4, 0.014565314153510476, 0.0054310419516076704, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 55.0 mm, 20.0 mm, 0.2904131834744356, 0.3648743855374172, 16.368676497543905, 20.565563545181966, 9676.41015625, 25.609610736999993, 1.0859666666666667, 1929583, 5760280, 2050116, 1000, 6.238618871430308E-4, 1.38667013333921E-4, 3.167268481585897E-4, 3.909303027089915E-4, 0.010971956916900547, 0.0033883114397899997, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 60.0 mm, 20.0 mm, 0.2903959654086516, 0.3666528922829787, 16.36770602869204, 20.66580624497441, 9619.33984375, 31.816676034166747, 1.0944833333333333, 2330427, 6946984, 2459159, 1000, 2.286843609464299E-5, 1.556586587879749E-5, 3.317666569011606E-5, 2.669046483778652E-5, 0.0023606651368643897, 1.8040681303567265E-4, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 65.0 mm, 20.0 mm, 0.2904401974926887, 0.36382493641625197, 16.370199099653053, 20.506413017098247, 9619.33984375, 26.970877324383384, 1.0288833333333334, 1982333, 5909737, 2095155, 1000, 2.751062526485387E-5, 1.2524729967669627E-5, 2.8865289751319738E-5, 2.4682945778068548E-5, 0.0011796186291702648, 1.0221976243773224E-4, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 70.0 mm, 20.0 mm, 0.2927239346223175, 0.38121168470906525, 16.498918305279663, 21.48638938988002, 9619.33984375, 23.56102417736669, 0.9925166666666667, 1757506, 5237310, 1856192, 1000, 5.477764235030774E-6, 1.2736688899146752E-6, 3.6480894338719492E-6, 2.363135146889359E-6, 5.667960868540965E-4, 1.5368835335732324E-5, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 150.0 mm, 3.0 mm, 75.0 mm, 20.0 mm, 0.28983797678721424, 0.36526315072393256, 16.336255888845265, 20.587475675669445, 9619.33984375, 20.244934544166647, 0.9367166666666666, 1520205, 4531505, 1610734, 1000, 1.4812475307290925E-5, 4.060238275004404E-6, 1.1786945500131873E-5, 6.988047066050138E-6, 8.550526988505363E-4, 2.0503660920902366E-4, N/A , N/A
