Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 20.0 mm, 20.0 mm,0.289582263298337,0.363930784614182,16.3218430053618,20.5123789821727,9407.0234375,95.9449366089834,2.832,6038606,18034942,6462778,1000,0.000162873854835381,3.39823799924179E-05,5.89497151456916E-05,5.75749949051128E-05,0.0145342587708479,0.00561137356562547, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 25.0 mm, 20.0 mm,0.292133139637575,0.384570145332374,16.4656190870213,21.6756836733385,7643.65625,65.6673532729833,1.99808333333333,4180044,12478929,4468394,1000,0.00163848653024388,0.000207532820132603,0.000539886649571735,0.000546857554965558,0.0149851246976968,0.0244948215042022, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 30.0 mm, 20.0 mm,0.289250539454549,0.363754474672671,16.303145919298,20.5024415531574,7393.07421875,60.2667894546832,1.78318333333333,3827494,11415415,4067458,1000,6.37265851818349E-05,1.12199157701624E-05,2.75884504243182E-05,2.24083533565447E-05,0.00460221148192136,0.00100157900486686, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 35.0 mm, 20.0 mm,0.292629319640371,0.381170140421482,16.4935854825311,21.4840478122848,7192.16796875,43.76822121745,1.50743333333333,2877022,8575578,3053888,1000,2.21038553349147E-05,1.39997000283223E-06,8.52407040839566E-06,4.4798321466938E-06,0.000336035086252497,0.000108392499167292, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 40.0 mm, 20.0 mm,0.289744811114141,0.373315554598292,16.3310047540828,21.0413365936555,7344.546875,33.0425037950834,1.29995,2208205,6578825,2346392,1000,0.000101314428640021,4.76476905187038E-05,8.70435904300178E-05,8.64205238555468E-05,0.00149062153667674,0.000256078293856756, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 45.0 mm, 20.0 mm,0.296346276829913,0.414786833109927,16.7030858539087,23.3787991488162,3960.484375,25.6338690796166,1.1863,1709735,5094535,1824619,1000,0.0019526286373844,0.000603185742074326,0.00148420096811891,0.00162363746100319,0.026897839839685,0.0201107710401669, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 50.0 mm, 20.0 mm,0.297185537651624,0.356220389033223,16.7503894532953,20.0777948168711,4200.05078125,25.8340653289167,1.11151666666667,1749416,5215476,1860533,1000,0.00152133835238394,0.000376428952684805,0.00089016654806462,0.000987156010073829,0.0105223945253791,0.00503971794681729, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 55.0 mm, 20.0 mm,0.291314065131199,0.354518381693731,16.4194532571445,19.9818638842485,4411.87890625,28.3615885439334,1.14121666666667,1929341,5759774,2050096,1000,0.000608403550457776,0.000143436632706124,0.000342021342306524,0.00039047834556313,0.00967052732525913,0.00476964769881348, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 60.0 mm, 20.0 mm,0.289891845434723,0.363409911571834,16.3392921093566,20.4830208028212,4714.390625,32.7601817922167,1.14145,2230009,6646056,2349706,1000,3.05802324612377E-05,1.63571963602389E-05,3.35131370115043E-05,2.64521426605519E-05,0.00352537295849816,0.000149855261371714, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 65.0 mm, 20.0 mm,0.290311882600643,0.365192004550162,16.3629668351512,20.5834656349111,4558.72265625,28.1184086961333,1.03781666666667,1894630,5647027,1999692,1000,3.03933046910127E-05,1.21611507024355E-05,2.70749369490216E-05,2.27299167360868E-05,0.00115451908394001,0.000139839673479581, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 70.0 mm, 20.0 mm,0.29261231037928,0.381926405896192,16.4926267826232,21.5266735111381,4481.21875,24.7753769141334,1.04946666666667,1674316,4988024,1765586,1000,1.36658502168136E-05,2.46254412363942E-06,7.60574874612762E-06,4.41741921375351E-06,0.000311434180612338,4.23670970994047E-05, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 75.0 mm, 20.0 mm,0.289882358182866,0.365324403444569,16.3387573755176,20.5909280877008,3463.7578125,22.2875727718,1.17736666666667,1442711,4299412,1526411,1000,1.60185151732371E-05,3.8004805875093E-06,9.76517216100224E-06,5.63693937170436E-06,0.00127707427740972,9.65418214970701E-05, N/A , N/A
