Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
1.0 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.307919390749253,0.35862362022694,17.3553859855643,20.2132491150821,3721.91796875,25.7572322501,0.640033333333333,1706313,5092121,1789256,1000,1.36702173957175E-06,8.80577002276151E-07,1.43066627182581E-06,1.29423756874534E-06,1.57872468051092E-06,5.77364696263981E-07, N/A , N/A
1.0 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.305780769749749,0.356076128798234,17.2348460194618,20.069663818513,4001.0703125,25.6267703344166,0.686983333333333,1714925,5117441,1798130,1000,5.69911620815039E-06,3.19129492973761E-06,7.09493985930142E-06,6.09651667516758E-06,1.90129151717911E-05,4.92456367145696E-06, N/A , N/A
1.0 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.304492442981719,0.352887505076703,17.1622315333124,19.889942121496,3960.70703125,25.9433844908167,0.689466666666667,1721579,5137288,1805539,1000,2.29080121841855E-06,1.93230566316529E-06,2.6718687691405E-06,2.2725221459638E-06,3.57887633584849E-06,7.81772250550499E-07, N/A , N/A
1.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.305711925498612,0.357320665906609,17.230965722906,20.139810170247,3954.6015625,25.4893172945833,0.72425,1726023,5150365,1810300,1000,1.04842772846107E-06,8.34244589656063E-07,5.90320517997094E-07,5.66196316043523E-07,4.51721639398522E-07,2.84778951683231E-07, N/A , N/A
1.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.305510305613603,0.360580730959353,17.2196017392408,20.3235585441015,4007.25,25.5021196242,0.7577,1731370,5166106,1816080,1000,3.6245459318181E-06,3.75731206427865E-06,3.3765253976259E-06,3.12865947958084E-06,4.02380417160062E-06,1.85762945262843E-06, N/A , N/A
1.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.304835418428792,0.356039594260892,17.1815627980731,20.0676046075103,3984.75,25.55554481215,0.815566666666667,1738613,5187792,1824058,1000,0.000121851741082886,3.87370931076658E-06,4.39596149438426E-06,1.5562832583222E-05,2.15789486444839E-06,4.78439762653848E-06, N/A , N/A
1.0 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.304475320791237,0.358883534935857,17.1612664683192,20.2278987936412,4021.3515625,25.8130579613333,0.837983333333333,1743858,5203180,1829686,1000,1.35138661204105E-06,9.06838998791673E-07,1.04584522533968E-06,9.87802460216677E-07,5.36738718210534E-06,7.91686391970213E-07, N/A , N/A
1.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.304597063584559,0.346268869134881,17.168128306945,19.5168932492287,4052.08203125,25.6098912918333,0.888666666666667,1750313,5222556,1837022,1000,4.42922779242299E-06,2.93106027678901E-06,4.64128135254655E-06,4.11974607000476E-06,3.47750250185135E-06,1.18405237560103E-06, N/A , N/A
1.0 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.303566091110691,0.363505063974055,17.1100191856553,20.4883839164074,4056.4296875,26.53202341695,0.924266666666667,1752505,5229070,1839451,1000,7.90239714858147E-06,7.77304355740968E-06,1.19729580687157E-05,1.00897208957858E-05,2.2469204161982E-05,1.03067049941518E-05, N/A , N/A
1.0 m, 5.5 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm,0.304075873520207,0.361631852725198,17.1387522591531,20.3828033481383,3997.7421875,26.1878453010833,0.9574,1758269,5245826,1845457,1000,1.63968187420805E-06,1.46433555121978E-06,1.57803761550035E-06,1.26616072959997E-06,2.11296209792137E-06,4.07037333120167E-07, N/A , N/A
