Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
1.5 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3065820712013632, 0.36702413216657487, 17.280010099416987, 20.68673058967829, 16489.5234375, 14.3678106993833, 0.3661333333333333, 1108099, 3310437, 1170732, 1000, 5.496465868554217E-4, 1.6482117942863092E-4, 9.690038608401965E-4, 8.756611044494621E-4, 0.004398711237103336, 0.0024899703043639093, N/A , N/A
2.0 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.30015942711242677, 0.36219917493762577, 16.918007995748997, 20.414779560974026, 16489.5234375, 14.619381448816664, 0.39143333333333336, 1123828, 3356692, 1187243, 1000, 5.864541673703407E-4, 1.346465128592336E-4, 0.0010748080101145117, 9.594399170246305E-4, 0.0028709403133398595, 0.006689371287351153, N/A , N/A
2.5 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2944920239884362, 0.3806752630945411, 16.598573846073293, 21.456154840024574, 16489.5234375, 15.038748047316652, 0.42725, 1152470, 3441800, 1218576, 1000, 7.243070775988865E-4, 1.5900954742113774E-4, 0.0014154499195806304, 0.001141537325237623, 0.004810491506623973, 0.002329580259779993, N/A , N/A
3.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29688737959788436, 0.3488482664091538, 16.733584249521748, 19.662276867961484, 16489.5234375, 15.183429490700007, 0.4597333333333333, 1164466, 3477492, 1231793, 1000, 6.96357909551728E-4, 1.327066364784751E-4, 8.993369913671762E-4, 5.48441761498522E-4, 0.010739855890610661, 0.009337806781710704, N/A , N/A
3.5 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2963728466164555, 0.34850693934002647, 16.704583417605082, 19.643038511398064, 16489.5234375, 15.38665879220003, 0.4952666666666667, 1179898, 3524257, 1249612, 1000, 6.938221136443048E-4, 1.1748080336683315E-4, 7.606968571276827E-4, 4.566258421717101E-4, 0.020845267521000323, 0.004546237506854248, N/A , N/A
4.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2923530059937691, 0.3985490939673807, 16.47801150397076, 22.46358484657274, 16489.5234375, 15.64104994501668, 0.5184333333333333, 1190537, 3554891, 1260446, 1000, 7.399587396365727E-4, 1.21386073632269E-4, 8.633227840881448E-4, 4.7085269865255834E-4, 0.00948315638825786, 0.011123949881503451, N/A , N/A
4.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2975064215998368, 0.35865369714575396, 16.768475565911462, 20.214944352702616, 16489.5234375, 15.907474711416649, 0.5579166666666666, 1202295, 3590259, 1273581, 1000, 6.351019074394966E-4, 1.1340490615954927E-4, 7.49695974496753E-4, 4.4334576839431627E-4, 0.009515542814799667, 0.0031008875349265554, N/A , N/A
5.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2986582386052275, 0.35830810984231115, 16.83339589673133, 20.19546587481798, 16489.5234375, 16.13388096531666, 0.6071833333333333, 1221401, 3646437, 1293972, 1000, 7.209923651155479E-4, 1.1996680229555078E-4, 8.568826412413413E-4, 4.727876370980515E-4, 0.004832220850304252, 0.0016668638897373155, N/A , N/A
5.5 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2987564186983299, 0.3545866525304673, 16.83892966129141, 19.985711861214966, 16489.5234375, 16.206114539933353, 0.63855, 1233551, 3682748, 1307180, 1000, 7.040774893944499E-4, 1.0600385213529872E-4, 7.955811563199168E-4, 4.3650029333449985E-4, 0.030554156070030335, 0.009601880104100987, N/A , N/A
2.0 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29923381301529, 0.37267507171390957, 16.865837231542173, 21.005236796080045, 16489.5234375, 14.568040352033323, 0.3602166666666667, 1114048, 3327957, 1177645, 1000, 7.197184680161937E-4, 1.3477158037395658E-4, 0.0011671678181808015, 0.001015096626574025, 0.011113097260323501, 0.005027060043468554, N/A , N/A
