Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 3.5 m, 1.0 m, 1.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.2978869938034846, 0.3686721214808925, 16.78992591196993, 20.779616882355324, 4112.66015625, 23.685192272900004, 0.6098166666666667, 1719548, 5130092, 1804190, 1000, 6.377575623574457E-6, 4.791159200764694E-6, 1.0984143653738509E-5, 1.102107801444769E-5, 2.3100183021154095E-5, 7.354856297738526E-6, N/A , N/A
4.0 m, 3.5 m, 1.25 m, 1.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29506276495261397, 0.37054809381993375, 16.63074275140587, 20.88535307507472, 4059.0234375, 23.699468581816642, 0.6396166666666666, 1724853, 5146873, 1809706, 1000, 9.761206975106169E-6, 6.601634505122105E-6, 1.4455506528146004E-5, 2.1201303435963448E-5, 7.740289922530457E-5, 3.296479675050852E-5, N/A , N/A
4.0 m, 3.5 m, 1.5 m, 1.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29332091278092687, 0.3618214652908644, 16.53256602828407, 20.393490558374793, 4028.05859375, 23.281981932450044, 0.58985, 1730173, 5162597, 1815393, 1000, 1.9273081139212018E-5, 2.51613403046059E-5, 3.212437401962232E-5, 5.867896386768736E-5, 2.0826894691338676E-4, 4.2183078610918494E-5, N/A , N/A
4.0 m, 3.5 m, 1.75 m, 1.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.2931816355277308, 0.36517316709241326, 16.524715887757534, 20.58240389161064, 4105.27734375, 23.078713967950044, 0.5920666666666666, 1729140, 5159674, 1814448, 1000, 3.6895577534306262E-6, 3.1220605630764806E-6, 7.1590544610958685E-6, 1.0751366163912073E-5, 1.6721779812855695E-5, 4.230765389258116E-6, N/A , N/A
4.0 m, 3.5 m, 2.0 m, 1.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29187365485475913, 0.36794051792331917, 16.45099364056211, 20.738381213178396, 4069.578125, 23.17156648805001, 0.62315, 1731157, 5165163, 1816133, 1000, 1.6970749510821983E-5, 2.641591171854337E-5, 4.309419586731813E-5, 6.576636902676162E-5, 1.1158798931825407E-4, 2.315961578938807E-5, N/A , N/A
4.0 m, 3.5 m, 1.0 m, 1.25 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29480581742116974, 0.3672357820114854, 16.616260313078744, 20.698659896057045, 4158.96484375, 23.016705752283297, 0.5806833333333333, 1720214, 5132741, 1804968, 1000, 1.1366696491925472E-5, 6.539064918421298E-6, 2.3364135249709864E-5, 1.169798392812283E-5, 5.8904492776434475E-5, 1.3339823010202453E-5, N/A , N/A
4.0 m, 3.5 m, 1.25 m, 1.25 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29242167983624584, 0.3629145581447296, 16.4818821957138, 20.455100995933567, 4091.0546875, 22.92175120688337, 0.5905333333333334, 1727414, 5155232, 1812585, 1000, 1.295890632497017E-5, 1.2029291808227372E-5, 2.739060959307421E-5, 2.629633812129657E-5, 1.544402759161404E-4, 6.43973789382484E-5, N/A , N/A
4.0 m, 3.5 m, 1.5 m, 1.25 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.2905898062885608, 0.3588890812161642, 16.378631561125772, 20.228211400896246, 4133.7265625, 23.183669451266674, 0.6021, 1730224, 5163333, 1815365, 1000, 2.020455524360645E-5, 3.158843113612295E-5, 4.9928238745688835E-5, 6.464796523025268E-5, 2.887608718994855E-4, 6.751725454990814E-5, N/A , N/A
4.0 m, 3.5 m, 1.75 m, 1.25 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.29082839895927154, 0.36124504115591505, 16.39207945696447, 20.361001330174197, 4144.52734375, 22.825900661383304, 0.60035, 1730900, 5165585, 1816330, 1000, 4.77942071717321E-6, 8.002895081372613E-6, 1.1672142307640287E-5, 1.3336525975015147E-5, 2.0795842843690437E-5, 1.6021603772116435E-5, N/A , N/A
4.0 m, 3.5 m, 2.0 m, 1.25 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.289696378528574, 0.3648133403490187, 16.328274928543916, 20.562122830374626, 4062.9296875, 23.05433255715001, 0.5884833333333334, 1733958, 5174236, 1819148, 1000, 1.7411614033584283E-5, 2.060443532140069E-5, 3.8634581966354904E-5, 4.741286823764749E-5, 6.85642622247266E-5, 2.0841359873342202E-5, N/A , N/A
4.0 m, 3.5 m, 1.0 m, 1.5 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 125.0 mm, 20.0 mm, 0.2925665537961587, 0.36365335902937296, 16.49004778569963, 20.49674233098643, 4114.16796875, 22.933962084116658, 0.6035166666666667, 1722330, 5138822, 1807215, 1000, 1.257923436039365E-5, 1.1833819176407532E-5, 3.696222173749364E-5, 1.4085431488180692E-5, 7.04376782207927E-5, 2.325223045205859E-5, N/A , N/A
