Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF Coef [],Drag Coef [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
1.5 m, 1.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.302483919377194,0.575954827769288,2.95989764550436,5.63589410683798,3762.4765625,7.87601246466666,236307,705946,269558,1000,1.50123416151714E-06,1.18802097741614E-06,5.1734685010448E-08,1.24768791715923E-07,2.21223225580013E-08,4.15728152441556E-05,3.26415206148229E-06, N/A , N/A
1.5 m, 1.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.310903820671611,0.5724575277025,3.04228895433174,5.60167195627004,3701.21875,9.46336448285,277355,827177,317558,1000,2.90613278400254E-05,2.280922837689E-05,1.20135401841104E-06,3.74086717564448E-06,4.73272188914753E-07,0.000750669918128023,8.12660428931732E-05, N/A , N/A
1.5 m, 1.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.286118212270087,0.57253454077363,2.79975419710856,5.60242555272032,3691.5,11.1685284814333,328589,979234,377904,1000,3.08447182663004E-06,2.42599372995248E-06,3.5450719574682E-08,4.84433552598982E-07,4.53204050112448E-08,6.78983922718843E-05,1.06308357868046E-05, N/A , N/A
1.5 m, 1.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.314546251482715,0.574840501711291,3.07793125361131,5.62499008561867,3755.4921875,13.383953465,386993,1152813,446871,1000,2.945679991814E-06,2.31772939410727E-06,5.83087546631604E-07,6.26696833651938E-07,4.39909012088018E-08,7.53508689971891E-05,1.13418270795498E-05, N/A , N/A
1.5 m, 1.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.304470810384363,0.566326432400911,2.97933998156672,5.54167731396012,3836.93359375,16.1124200450166,459311,1367476,530460,1000,1.88441240089077E-05,1.47911970246691E-05,1.19387803436274E-06,4.34865289220698E-06,2.78509199047419E-07,0.000406824938425982,7.81917523625703E-05, N/A , N/A
2.0 m, 1.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.302791575547834,0.559445129915985,2.96290815521005,5.47434166496075,3659.93359375,8.29171796228333,247187,738025,282329,1000,2.97967340657889E-06,2.34568883535007E-06,5.53432723081375E-07,8.18169667544995E-07,1.68309482661579E-07,8.89533506229354E-05,8.16869327413985E-06, N/A , N/A
2.0 m, 1.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.287957625949758,0.544027012259009,2.81775342242532,5.3234706690911,3668.80859375,10.2168635857834,297525,887180,341601,1000,1.44041494539894E-06,1.14062453550724E-06,2.83490904885251E-07,3.4397388528114E-07,5.10250576831248E-08,3.30078461771492E-05,4.41354471466319E-06, N/A , N/A
2.0 m, 1.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.290210378414213,0.540945270393287,2.83979729414311,5.29331488259117,3772.0859375,12.9304323793333,360724,1074989,415146,1000,2.94980070856259E-06,2.32094457042448E-06,2.60958071733201E-07,2.98841112866282E-07,4.56924905376462E-08,6.24483311210757E-05,1.0104830450276E-05, N/A , N/A
2.0 m, 1.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.296599900831893,0.54025847544174,2.90232072480656,5.28659438398015,3837.93359375,16.21233694385,434626,1294684,500963,1000,2.06573728910637E-06,1.6288000305444E-06,2.58894895859115E-07,3.30373625609296E-07,3.38540902310186E-08,5.56520790544552E-05,7.55479759137265E-06, N/A , N/A
2.0 m, 1.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.290418865750841,0.540895506199587,2.84183740648387,5.29282792473877,3929.17578125,19.0648769171334,518898,1544785,597453,1000,1.1436141038194E-05,8.9765453319644E-06,1.46109044820301E-06,2.06255397767015E-06,1.71195198618055E-07,0.000287719942368673,4.63585903512656E-05, N/A , N/A
