Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
1.0 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.31615833704160173, 0.35575709515850396, 17.819761069803434, 20.051681995587167, 16489.3984375, 15.468321855616683, 0.41136666666666666, 1131226, 3379139, 1195485, 1000, 6.085761845908146E-4, 1.8132951099273243E-4, 6.310194298370886E-4, 6.138763494014368E-4, 0.003811462563302709, 0.0012773287004707859, N/A , N/A
1.5 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3011370825431625, 0.3611090497045615, 16.97311198682931, 20.353336388634677, 16489.3984375, 15.171268473683348, 0.42536666666666667, 1144271, 3418164, 1210069, 1000, 6.356244528990563E-4, 1.523025861787814E-4, 0.0010489667696616807, 8.904786825926096E-4, 0.005699679897645843, 0.006460527143238221, N/A , N/A
2.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2985513541532533, 0.34917723802304607, 16.827371524848303, 19.68081882897116, 16489.3984375, 15.454557547183335, 0.46345, 1166098, 3484154, 1234166, 1000, 5.88176179674665E-4, 1.3064384126070382E-4, 0.0010486509600237445, 9.381680107633331E-4, 0.007088819578002668, 0.007276393898134212, N/A , N/A
2.5 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29485015851746305, 0.3847267162181393, 16.618759528341936, 21.68450854191835, 16489.3984375, 15.308468200716694, 0.494, 1170543, 3495713, 1238488, 1000, 6.57848153273407E-4, 1.3084857403626316E-4, 0.0012168733225392222, 0.0010175197468293333, 0.003869799969689721, 0.0038029676957762504, N/A , N/A
3.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29404859865168903, 0.378786773975097, 16.57358088328423, 21.349713158915314, 16489.3984375, 15.54951132273334, 0.5195666666666666, 1181368, 3527993, 1250524, 1000, 6.550093514583722E-4, 1.2922266700803368E-4, 0.0011963653404389798, 0.0010935072534777966, 0.0098552131507164, 0.00360061016001815, N/A , N/A
3.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2928294655464544, 0.3819596542982321, 16.50486638772212, 21.528547504358837, 16489.3984375, 15.865536620099993, 0.56385, 1200633, 3584897, 1270980, 1000, 6.880641712001478E-4, 1.1168307162977882E-4, 7.849336852082017E-4, 4.484125233616536E-4, 0.005561710600306351, 0.0027081089179992563, N/A , N/A
4.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29775597359094635, 0.35110470943756195, 16.782541166387723, 19.78945768504861, 16489.3984375, 16.139636819666666, 0.6147166666666667, 1212549, 3620114, 1284003, 1000, 7.106914336609981E-4, 1.1242116701508495E-4, 8.003118953373585E-4, 4.503741086902537E-4, 0.005248601083091153, 0.002723404594378031, N/A , N/A
4.5 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29785047062085046, 0.3641209644268464, 16.787867340957256, 20.52309816438275, 16489.3984375, 16.29409136823334, 0.6336, 1228334, 3666821, 1301351, 1000, 7.02890105201354E-4, 1.0619973384994001E-4, 8.007225331847763E-4, 4.74301306979792E-4, 0.0051123133792155, 0.003012893005448268, N/A , N/A
5.0 m, 5.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29487652246578655, 0.4079328263669357, 16.62024549029498, 22.99248397625484, 16489.3984375, 16.44360679355001, 0.684, 1239988, 3700513, 1312905, 1000, 7.126093788069833E-4, 1.0614619320035968E-4, 8.350019554588231E-4, 4.724882702589658E-4, 0.02393365057968058, 0.008369337484370564, N/A , N/A
1.0 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3128117887168089, 0.3716230441507933, 17.631138204076155, 20.94594093822287, 16489.3984375, 14.852597077016672, 0.42773333333333335, 1131818, 3381565, 1197261, 1000, 7.192628450384877E-4, 1.4441337667853342E-4, 6.80844384648763E-4, 6.826971016438221E-4, 0.004472229603898895, 0.003411326246967936, N/A , N/A
1.5 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2980692284735227, 0.37774158950090825, 16.8001972788714, 21.29080300086542, 16489.3984375, 14.96619992951665, 0.46258333333333335, 1141238, 3410107, 1207650, 1000, 7.465650469869182E-4, 1.2933027714149225E-4, 0.001045549922555364, 8.681174324221667E-4, 0.0033764684009280816, 0.002891533275064289, N/A , N/A
2.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2981192416749365, 0.3752305382753719, 16.803016193304813, 21.14927159830365, 16489.3984375, 15.385234519600006, 0.48883333333333334, 1167369, 3486879, 1235403, 1000, 7.185646423654499E-4, 1.421156829782812E-4, 0.0012544300078862673, 0.0011278580494057608, 0.007011121937550504, 0.0041011575220699205, N/A , N/A
2.5 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29635211221558266, 0.3458781730226422, 16.703414756126985, 19.49487228518853, 16489.3984375, 15.566331194683338, 0.5428166666666666, 1179256, 3522001, 1248335, 1000, 6.933840175864015E-4, 1.2126597158995381E-4, 0.0011298998413096781, 9.82521460274441E-4, 0.02231809737855979, 0.001520050198252903, N/A , N/A
3.0 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2968909606990845, 0.3407249066767096, 16.733786092586683, 19.20441663605759, 16489.3984375, 15.585136533450017, 0.5639166666666666, 1187317, 3545822, 1257405, 1000, 7.686235082405567E-4, 1.2482889661953508E-4, 8.998408570631276E-4, 5.121756875397518E-4, 0.02930767642421102, 0.0013412207189460398, N/A , N/A
3.5 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2953404030842192, 0.35142437618378347, 16.64639138245374, 19.807475192013417, 16489.3984375, 16.11812707073335, 0.60275, 1208692, 3608534, 1279577, 1000, 7.137509118586193E-4, 1.1678239545358895E-4, 7.969442673345822E-4, 4.846371551825639E-4, 0.01795910695626198, 0.0017267698249944447, N/A , N/A
4.0 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29834202813334815, 0.3588906962216501, 16.815573197164436, 20.228302428107973, 16489.3984375, 16.130242447583345, 0.65475, 1222399, 3649318, 1294653, 1000, 8.416184712273195E-4, 1.0842127733686262E-4, 8.347667951866E-4, 4.7314398936789423E-4, 0.012109702765570537, 0.009280604188696345, N/A , N/A
4.5 m, 5.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2974493078149554, 0.35597526607194147, 16.76525643840117, 20.063978851606265, 16489.3984375, 16.270645050866644, 0.6713, 1231990, 3677682, 1305278, 1000, 8.006274533625016E-4, 1.0231618705028337E-4, 7.91295320330663E-4, 4.369051292481665E-4, 0.010826196074075213, 0.007643066965696998, N/A , N/A
5.0 m, 6.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29468197473956326, 0.3944234409859865, 16.60928011759467, 22.231048987884652, 16489.3984375, 16.55025123396665, 0.70975, 1251175, 3734533, 1325786, 1000, 8.093592618748696E-4, 1.0455744847779714E-4, 8.351574276672349E-4, 4.936923046966467E-4, 0.025016586384304807, 0.010599398585699384, N/A , N/A
1.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3163034587514267, 0.3562970593102768, 17.827940623818428, 20.08211621491185, 16489.3984375, 15.047290341600029, 0.46415, 1148988, 3431905, 1214833, 1000, 6.768801066096222E-4, 1.5053269937468933E-4, 6.326535104391592E-4, 6.076991772362002E-4, 0.00386217078680074, 0.00459130409663905, N/A , N/A
1.5 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2996237139422591, 0.37687802322557595, 16.88781337623125, 21.242129463300802, 16489.3984375, 15.215250015766639, 0.4892666666666667, 1160783, 3466797, 1227670, 1000, 7.009611793522845E-4, 1.472870256668288E-4, 0.0011437144591737991, 9.022451601253427E-4, 0.006687345047535685, 0.006324437593962123, N/A , N/A
2.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29590302441051175, 0.38424128860845863, 16.678102637330408, 21.657148187919343, 16489.3984375, 15.411616182616664, 0.5229, 1173737, 3505246, 1241845, 1000, 7.455633808056037E-4, 1.446302338291154E-4, 0.0013297743014830973, 0.0010590267517873383, 0.007821704705659889, 0.0040059355088663635, N/A , N/A
2.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29466378154001216, 0.38481417418668046, 16.60825468688128, 21.689437971006434, 16489.3984375, 15.598392874650006, 0.5676833333333333, 1189353, 3551734, 1258949, 1000, 6.734937951190161E-4, 1.309981575153067E-4, 0.0012188489325274787, 0.0010833643761664735, 0.004090017613165287, 0.006779669741124847, N/A , N/A
3.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29299144409464406, 0.3855577890100052, 16.513996050580875, 21.731350636045114, 16489.3984375, 15.798852359383362, 0.59185, 1203051, 3592089, 1273589, 1000, 7.138060495573182E-4, 1.2291223014570577E-4, 9.298222498178388E-4, 5.269944099041817E-4, 0.010545596244097231, 0.01076025549040171, N/A , N/A
3.5 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2978305362364112, 0.35518465192631365, 16.78674377113112, 20.019417144629546, 16489.3984375, 16.00709956445002, 0.6336, 1215147, 3628174, 1287063, 1000, 6.951136328167293E-4, 1.1197857738291026E-4, 8.076648122685576E-4, 4.699003131152927E-4, 0.005191346236712907, 0.0025158421231681665, N/A , N/A
4.0 m, 5.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29382562741281154, 0.3838881660435589, 16.561013464567985, 21.63724499702534, 16489.3984375, 16.213838888450017, 0.6941333333333334, 1228956, 3668876, 1301929, 1000, 6.994469507621934E-4, 1.0613058393042067E-4, 7.88157669616243E-4, 4.5330829478612686E-4, 0.004393256770356514, 0.0026921575228931577, N/A , N/A
4.5 m, 6.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29673657201373144, 0.36462645268495697, 16.725084220257088, 20.5515892048766, 16489.3984375, 16.40168704616669, 0.7300666666666666, 1242988, 3710455, 1317068, 1000, 6.405304863266975E-4, 9.123756993712051E-5, 6.92217614286956E-4, 4.1422062826896856E-4, 0.0059647947827106045, 0.0022067576600638223, N/A , N/A
5.0 m, 6.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.295519811093849, 0.362258173562113, 16.656503429143786, 20.418104924466405, 16489.3984375, 16.709179922600008, 0.7656333333333334, 1260355, 3761568, 1335434, 1000, 6.878538971652405E-4, 1.0371689360645681E-4, 7.761246409751341E-4, 4.49367183269727E-4, 0.007877362183332058, 0.0018448941408371262, N/A , N/A
1.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3128131736969682, 0.3938426684409507, 17.63121626627675, 22.198314668475966, 16489.3984375, 15.192191614299984, 0.4969166666666667, 1159470, 3462754, 1225801, 1000, 8.528716256782075E-4, 1.5366107155734518E-4, 7.838806059017174E-4, 7.411484704367238E-4, 0.006440705796278717, 0.00137087478428678, N/A , N/A
1.5 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3004850558761808, 0.3757923772568331, 16.936361542335334, 21.18093875756007, 16489.3984375, 15.459339591900013, 0.5285666666666666, 1170338, 3495788, 1238662, 1000, 7.281644536462643E-4, 1.3222360874338312E-4, 0.0010877672517756803, 9.434074331978396E-4, 0.011801060575913487, 8.363128904116376E-4, N/A , N/A
2.0 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2961773261437761, 0.37897799798709486, 16.693563217600225, 21.360491195757536, 16489.3984375, 15.650749258883348, 0.5607, 1187603, 3546299, 1256594, 1000, 7.434271620627369E-4, 1.174845978724059E-4, 0.0011313126280794073, 9.57897996678324E-4, 0.006256784130793072, 0.0028267535967393446, N/A , N/A
2.5 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29409485461974605, 0.38753066222073457, 16.576188027244253, 21.842548492047207, 16489.3984375, 15.905938192299976, 0.5997666666666667, 1199535, 3581437, 1269492, 1000, 7.811812963676763E-4, 1.1651436718047631E-4, 0.0011850202561390132, 0.001054790128092554, 0.007054627716011394, 0.0031062162620373282, N/A , N/A
3.0 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29780492552471505, 0.3392491529245788, 16.785300264160774, 19.12123812649522, 16489.3984375, 15.918259716383334, 0.63775, 1210138, 3613045, 1281372, 1000, 8.536159649750349E-4, 1.2597759436874703E-4, 0.0012887323306704182, 0.0011332044344654758, 0.01001708438809533, 0.01026902572330491, N/A , N/A
3.5 m, 5.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29567989990830207, 0.3847618519723315, 16.665526580170564, 21.686488912736877, 16489.3984375, 16.36117218651665, 0.6755333333333333, 1226634, 3661990, 1299206, 1000, 7.008590298457861E-4, 9.96141452178515E-5, 7.432468063200625E-4, 4.708623550227555E-4, 0.005269154536423003, 0.0025063482145965847, N/A , N/A
4.0 m, 6.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2941443665790579, 0.39221165383372386, 16.578978689965, 22.10638512812569, 16489.3984375, 16.341591979500002, 0.6951, 1238885, 3698419, 1312756, 1000, 8.191733523384547E-4, 1.0831111508791366E-4, 8.416873102030091E-4, 5.035953389120501E-4, 0.006517573296319582, 0.004574823542533622, N/A , N/A
4.5 m, 6.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29597518181044635, 0.3425060508649379, 16.682169674240725, 19.30480799110486, 16489.3984375, 16.513959545033345, 0.7300166666666666, 1255448, 3747694, 1330768, 1000, 8.275676645772592E-4, 1.0806349109837216E-4, 8.364098464107456E-4, 4.7450567162719186E-4, 0.031179594199857216, 0.008806511765234844, N/A , N/A
5.0 m, 7.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2981352506718891, 0.35510161104680066, 16.803918514917882, 20.014736677728706, 16489.3984375, 16.852399478983344, 0.7829, 1268033, 3784506, 1344021, 1000, 8.233341828883925E-4, 9.571640760606541E-5, 7.93860543592822E-4, 4.8272006166156476E-4, 0.012442174673135945, 0.00575647509272708, N/A , N/A
1.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3136730984967427, 0.3668463299715716, 17.679684557871926, 20.676709052171827, 16489.3984375, 15.051007164099987, 0.5257166666666667, 1160595, 3466706, 1228043, 1000, 6.294336427535965E-4, 1.5322074793032526E-4, 6.492504285044486E-4, 6.387802023141943E-4, 0.0027809492956079327, 0.0010345337748669458, N/A , N/A
1.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.3037383127734259, 0.34487052419191233, 17.11972618534954, 19.438077763892988, 16489.3984375, 15.514488516466654, 0.5502, 1182524, 3532093, 1251743, 1000, 6.053979009793041E-4, 1.2586541373511186E-4, 9.580315550568281E-4, 7.795445819116476E-4, 0.008841609557042003, 0.0023366117195645626, N/A , N/A
