Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 20.0 mm, 20.0 mm,0.289245517009008,0.35988328941652,16.3028628371551,20.2842483624699,10389.85546875,88.1621110660665,2.8513,6045937,18056711,6469859,1000,0.000653362552581283,0.000106879531120857,0.000217508079714477,0.000241121113951177,0.00693975415556635,0.0170077557406376, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 25.0 mm, 20.0 mm,0.291541727913372,0.397028220829388,16.4322851072256,22.3778632546953,10031.6953125,59.9743162504667,2.00531666666667,4183289,12488105,4471264,1000,0.00156038182524827,0.000221879821790367,0.00058014343745158,0.000578198287959794,0.0148111978866583,0.0235024666879212, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 30.0 mm, 20.0 mm,0.289626576030093,0.369654469350948,16.324340621903,20.8349853553035,10077.703125,59.8191016508999,1.7464,4188398,12497955,4454524,1000,4.49423059865651E-05,9.06230541445E-06,2.38654691425406E-05,1.95315545528225E-05,0.00475115663758534,0.0012161593046009, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 35.0 mm, 20.0 mm,0.292089376083199,0.377659111930107,16.4631524239883,21.2861542839629,10077.703125,44.8484007225667,1.49805,3162603,9431056,3360636,1000,2.87162103038784E-05,2.71853146994129E-06,1.81150349317122E-05,9.36441994054401E-06,0.000902683259206669,0.000296952167339653, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 40.0 mm, 20.0 mm,0.290089343806684,0.362603676798678,16.350423790504,20.4375786640554,10077.703125,33.9359381129167,1.28396666666667,2448071,7298145,2605695,1000,0.000267278170663695,0.000113444171467429,0.000261574285910433,0.000295074512673603,0.00132694442686078,0.000471331845482712, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 45.0 mm, 20.0 mm,0.295644964649976,0.411394371186118,16.6635575099822,23.1875884362145,9976.4140625,26.3687966488334,1.15178333333333,1934466,5768446,2066934,1000,0.000983065202327297,0.000512290354400819,0.00120074989873439,0.00143781798369559,0.0238121217619663,0.0102042557393615, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 50.0 mm, 20.0 mm,0.297809626085292,0.34981339890686,16.7855652037703,19.7166750238689,4098.28125,26.6375223047,1.18335,1946706,5806451,2073118,1000,0.000886463832037289,0.000345021918443182,0.000837537224157637,0.000910955345416507,0.0100426679520606,0.0117565941671127, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 55.0 mm, 20.0 mm,0.291004079145099,0.360193382508321,16.4019813908038,20.3017262656528,4403.6171875,28.4885159801667,1.13723333333333,2105744,6288576,2240563,1000,0.000378496961403555,0.000116684166578297,0.000282134775208136,0.000346240637012662,0.00591462681791735,0.00659489761899095, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 60.0 mm, 20.0 mm,0.289653588668933,0.365721888951571,16.3258631462637,20.6133317251622,5075.00390625,39.0945813366834,1.21766666666667,2749375,8203412,2907854,1000,2.11603749922613E-05,1.64056381830851E-05,3.43041578016975E-05,3.01884215953716E-05,0.00232517654552612,0.000180547162647033, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 100.0 mm, 150.0 mm, 3.0 mm, 65.0 mm, 20.0 mm,0.290210673443102,0.364738843593795,16.3572623421989,20.5579239394297,4968.09375,33.7357108831167,1.14485,2369137,7069291,2509150,1000,1.8940172264191E-05,1.09915053266836E-05,2.83219647652382E-05,2.48828276195988E-05,0.000872167635152843,0.000102609450678444, N/A , N/A
